Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	3;	747;	1750;	2428;	72;	100%;	2;	1;	0;	1;	97%;	100%;	1;	0;	1;	0;	99%;	100%;	1;	0;	0;	1;	97%;	100%;	73%;	96%;	54%;	76%;	26%;	58%;	1%;	57%;	
10000;	3;	1497;	3500;	4787;	213;	100%;	2;	2;	0;	0;	79%;	100%;	1;	0;	0;	1;	90%;	100%;	1;	0;	0;	1;	88%;	100%;	64%;	93%;	45%;	77%;	18%;	60%;	1%;	56%;	
15000;	3;	2247;	5250;	7305;	195;	100%;	1;	1;	0;	0;	89%;	100%;	1;	0;	1;	0;	92%;	100%;	1;	0;	1;	0;	86%;	100%;	73%;	96%;	54%;	76%;	26%;	59%;	1%;	57%;	
20000;	3;	2997;	7000;	9603;	397;	99%;	1;	1;	0;	0;	92%;	100%;	0;	0;	0;	0;	96%;	100%;	0;	0;	0;	0;	92%;	100%;	61%;	93%;	43%;	75%;	19%;	60%;	1%;	55%;	
25000;	3;	3747;	8750;	12200;	300;	100%;	1;	1;	0;	0;	90%;	100%;	1;	0;	1;	0;	93%;	100%;	1;	0;	1;	0;	89%;	100%;	77%;	96%;	58%;	76%;	28%;	58%;	1%;	56%;	
30000;	3;	4497;	10500;	14418;	582;	99%;	1;	1;	0;	0;	96%;	100%;	1;	1;	0;	0;	83%;	100%;	1;	0;	1;	0;	97%;	100%;	71%;	94%;	50%;	76%;	21%;	59%;	1%;	54%;	
35000;	3;	5247;	12250;	16929;	571;	99%;	1;	1;	0;	0;	86%;	100%;	1;	0;	0;	1;	97%;	100%;	1;	1;	0;	0;	65%;	100%;	65%;	94%;	47%;	75%;	21%;	60%;	1%;	56%;	
40000;	3;	5997;	14000;	19516;	484;	100%;	1;	1;	0;	0;	98%;	100%;	1;	0;	1;	0;	99%;	100%;	1;	0;	1;	0;	97%;	100%;	79%;	97%;	60%;	76%;	30%;	59%;	1%;	59%;	
45000;	3;	6747;	15750;	21930;	570;	100%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	88%;	100%;	1;	0;	0;	1;	99%;	100%;	75%;	96%;	56%;	76%;	27%;	59%;	1%;	59%;	
50000;	3;	7497;	17500;	24264;	736;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	73%;	100%;	0;	0;	0;	0;	96%;	100%;	68%;	94%;	52%;	74%;	23%;	60%;	1%;	59%;	
5000;	4;	747;	1750;	2435;	65;	99%;	1;	1;	0;	0;	82%;	100%;	1;	0;	0;	1;	95%;	100%;	1;	0;	1;	0;	84%;	100%;	67%;	92%;	49%;	73%;	24%;	55%;	1%;	53%;	
10000;	4;	1497;	3500;	4854;	146;	100%;	1;	1;	0;	0;	90%;	100%;	1;	0;	1;	0;	82%;	100%;	1;	0;	0;	1;	86%;	100%;	64%;	92%;	48%;	72%;	23%;	55%;	1%;	53%;	
15000;	4;	2247;	5250;	7335;	165;	100%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	83%;	100%;	1;	1;	0;	0;	80%;	100%;	71%;	93%;	51%;	73%;	25%;	54%;	1%;	54%;	
20000;	4;	2997;	7000;	9678;	322;	100%;	1;	1;	0;	0;	86%;	100%;	1;	1;	0;	0;	85%;	100%;	1;	1;	0;	0;	84%;	100%;	65%;	91%;	48%;	72%;	22%;	56%;	1%;	49%;	
