Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	3;	747;	1750;	0;	4817;	99%;	1;	1;	0;	0;	77%;	100%;	1;	0;	1;	0;	77%;	100%;	1;	1;	0;	0;	88%;	67%;	65%;	94%;	47%;	75%;	NaN%;	NaN%;	34%;	69%;	
10000;	3;	1497;	3500;	0;	9509;	100%;	1;	1;	0;	0;	94%;	100%;	1;	0;	1;	0;	91%;	100%;	1;	1;	0;	0;	74%;	100%;	70%;	93%;	51%;	75%;	NaN%;	NaN%;	38%;	69%;	
15000;	3;	2247;	5250;	0;	14348;	100%;	1;	1;	0;	0;	96%;	100%;	1;	0;	1;	0;	90%;	100%;	1;	1;	0;	0;	99%;	67%;	68%;	93%;	50%;	76%;	NaN%;	NaN%;	37%;	69%;	
20000;	3;	2997;	7000;	0;	19127;	100%;	1;	1;	0;	0;	75%;	100%;	1;	0;	1;	0;	84%;	100%;	1;	1;	0;	0;	95%;	67%;	66%;	94%;	47%;	76%;	NaN%;	NaN%;	35%;	69%;	
25000;	3;	3747;	8750;	0;	22941;	100%;	1;	0;	1;	0;	96%;	100%;	1;	1;	0;	0;	79%;	100%;	1;	0;	0;	1;	96%;	100%;	73%;	95%;	54%;	76%;	NaN%;	NaN%;	40%;	68%;	
30000;	3;	4497;	10500;	0;	28503;	99%;	1;	1;	0;	0;	87%;	100%;	2;	0;	0;	2;	96%;	100%;	1;	0;	1;	0;	94%;	100%;	68%;	95%;	49%;	76%;	NaN%;	NaN%;	36%;	69%;	
35000;	3;	5247;	12250;	0;	32831;	100%;	1;	1;	0;	0;	85%;	100%;	0;	0;	0;	0;	97%;	100%;	1;	0;	1;	0;	80%;	100%;	69%;	95%;	51%;	76%;	NaN%;	NaN%;	38%;	68%;	
40000;	3;	5997;	14000;	0;	36649;	100%;	2;	1;	0;	1;	97%;	100%;	0;	0;	0;	0;	97%;	100%;	0;	0;	0;	0;	97%;	100%;	73%;	96%;	54%;	77%;	NaN%;	NaN%;	39%;	68%;	
45000;	3;	6747;	15750;	0;	43038;	100%;	1;	1;	0;	0;	79%;	100%;	1;	0;	1;	0;	85%;	100%;	0;	0;	0;	0;	97%;	100%;	66%;	94%;	48%;	76%;	NaN%;	NaN%;	36%;	69%;	
50000;	3;	7497;	17500;	0;	48405;	100%;	2;	0;	2;	0;	95%;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	89%;	100%;	64%;	94%;	46%;	76%;	NaN%;	NaN%;	34%;	69%;	
5000;	4;	747;	1750;	0;	4339;	99%;	1;	1;	0;	0;	93%;	100%;	2;	0;	2;	0;	89%;	100%;	1;	0;	1;	0;	84%;	100%;	66%;	92%;	49%;	72%;	NaN%;	NaN%;	35%;	62%;	
10000;	4;	1497;	3500;	0;	8138;	99%;	1;	1;	0;	0;	97%;	100%;	1;	0;	1;	0;	94%;	100%;	1;	0;	0;	1;	95%;	100%;	75%;	93%;	55%;	73%;	NaN%;	NaN%;	36%;	61%;	
15000;	4;	2247;	5250;	0;	13119;	100%;	1;	1;	0;	0;	92%;	100%;	1;	0;	1;	0;	85%;	100%;	0;	0;	0;	0;	92%;	100%;	65%;	92%;	47%;	73%;	NaN%;	NaN%;	33%;	63%;	
20000;	4;	2997;	7000;	0;	18498;	100%;	1;	1;	0;	0;	74%;	100%;	1;	0;	1;	0;	81%;	100%;	0;	0;	0;	0;	90%;	100%;	58%;	91%;	41%;	73%;	NaN%;	NaN%;	30%;	64%;	
25000;	4;	3747;	8750;	0;	21524;	100%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	89%;	100%;	1;	1;	0;	0;	84%;	100%;	67%;	92%;	50%;	73%;	NaN%;	NaN%;	35%;	62%;	
30000;	4;	4497;	10500;	0;	25117;	100%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	76%;	100%;	1;	0;	0;	1;	94%;	100%;	71%;	92%;	53%;	72%;	NaN%;	NaN%;	37%;	62%;	
35000;	4;	5247;	12250;	0;	32936;	100%;	1;	1;	0;	0;	72%;	100%;	1;	1;	0;	0;	70%;	100%;	1;	1;	0;	0;	66%;	100%;	55%;	91%;	39%;	72%;	NaN%;	NaN%;	29%;	65%;	
40000;	4;	5997;	14000;	0;	35556;	100%;	1;	1;	0;	0;	86%;	100%;	0;	0;	0;	0;	93%;	100%;	1;	0;	1;	0;	80%;	100%;	63%;	92%;	46%;	72%;	NaN%;	NaN%;	33%;	63%;	
45000;	4;	6747;	15750;	0;	39022;	100%;	1;	1;	0;	0;	76%;	100%;	0;	0;	0;	0;	95%;	100%;	0;	0;	0;	0;	94%;	100%;	66%;	92%;	49%;	72%;	NaN%;	NaN%;	35%;	63%;	
50000;	4;	7497;	17500;	0;	43047;	100%;	1;	0;	1;	0;	86%;	100%;	1;	0;	0;	1;	91%;	100%;	0;	0;	0;	0;	96%;	100%;	67%;	93%;	49%;	73%;	NaN%;	NaN%;	34%;	63%;	
5000;	5;	747;	1750;	0;	3847;	100%;	1;	1;	0;	0;	90%;	100%;	1;	0;	1;	0;	94%;	100%;	1;	0;	1;	0;	92%;	100%;	70%;	89%;	51%;	70%;	NaN%;	NaN%;	32%;	57%;	
10000;	5;	1497;	3500;	0;	7679;	100%;	2;	2;	0;	0;	84%;	100%;	1;	1;	0;	0;	83%;	100%;	1;	0;	1;	0;	93%;	100%;	69%;	91%;	52%;	70%;	NaN%;	NaN%;	33%;	58%;	
15000;	5;	2247;	5250;	0;	11712;	100%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	87%;	100%;	1;	1;	0;	0;	83%;	100%;	67%;	90%;	50%;	70%;	NaN%;	NaN%;	33%;	58%;	
20000;	5;	2997;	7000;	0;	17513;	99%;	1;	1;	0;	0;	80%;	100%;	1;	1;	0;	0;	77%;	100%;	1;	1;	0;	0;	70%;	100%;	55%;	89%;	39%;	70%;	NaN%;	NaN%;	27%;	61%;	
25000;	5;	3747;	8750;	0;	20574;	99%;	1;	1;	0;	0;	83%;	100%;	0;	0;	0;	0;	89%;	100%;	0;	0;	0;	0;	89%;	100%;	62%;	90%;	45%;	70%;	NaN%;	NaN%;	30%;	60%;	
30000;	5;	4497;	10500;	0;	21443;	100%;	2;	0;	1;	1;	92%;	100%;	0;	0;	0;	0;	98%;	100%;	1;	0;	0;	1;	92%;	100%;	76%;	91%;	58%;	70%;	NaN%;	NaN%;	36%;	57%;	
35000;	5;	5247;	12250;	0;	28815;	99%;	1;	1;	0;	0;	77%;	100%;	1;	1;	0;	0;	76%;	100%;	1;	0;	0;	1;	89%;	100%;	62%;	90%;	45%;	70%;	NaN%;	NaN%;	30%;	59%;	
40000;	5;	5997;	14000;	0;	31147;	99%;	1;	0;	1;	0;	94%;	100%;	1;	1;	0;	0;	79%;	100%;	1;	0;	1;	0;	86%;	100%;	68%;	91%;	49%;	71%;	NaN%;	NaN%;	31%;	58%;	
45000;	5;	6747;	15750;	0;	35987;	100%;	1;	1;	0;	0;	81%;	100%;	1;	1;	0;	0;	77%;	100%;	0;	0;	0;	0;	91%;	100%;	64%;	90%;	47%;	71%;	NaN%;	NaN%;	31%;	59%;	
50000;	5;	7497;	17500;	0;	39796;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	87%;	100%;	1;	0;	1;	0;	93%;	100%;	65%;	90%;	48%;	70%;	NaN%;	NaN%;	31%;	58%;	
5000;	6;	747;	1750;	0;	3963;	100%;	1;	0;	0;	1;	77%;	100%;	0;	0;	0;	0;	81%;	100%;	0;	0;	0;	0;	80%;	100%;	57%;	88%;	42%;	69%;	NaN%;	NaN%;	27%;	57%;	
10000;	6;	1497;	3500;	0;	6936;	100%;	2;	2;	0;	0;	82%;	83%;	1;	0;	0;	1;	92%;	100%;	1;	1;	0;	0;	94%;	83%;	69%;	89%;	51%;	69%;	NaN%;	NaN%;	30%;	55%;	
15000;	6;	2247;	5250;	0;	9707;	100%;	1;	1;	0;	0;	97%;	100%;	1;	1;	0;	0;	88%;	100%;	0;	0;	0;	0;	96%;	100%;	76%;	90%;	58%;	68%;	NaN%;	NaN%;	34%;	53%;	
20000;	6;	2997;	7000;	0;	15353;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	76%;	100%;	1;	1;	0;	0;	76%;	100%;	59%;	89%;	43%;	69%;	NaN%;	NaN%;	26%;	56%;	
25000;	6;	3747;	8750;	0;	16889;	100%;	2;	1;	0;	1;	94%;	100%;	1;	1;	0;	0;	91%;	100%;	1;	1;	0;	0;	89%;	100%;	73%;	89%;	55%;	68%;	NaN%;	NaN%;	32%;	54%;	
30000;	6;	4497;	10500;	0;	21566;	100%;	1;	1;	0;	0;	87%;	100%;	1;	1;	0;	0;	80%;	100%;	0;	0;	0;	0;	94%;	100%;	66%;	88%;	50%;	68%;	NaN%;	NaN%;	30%;	56%;	
