Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	3;	747;	1750;	2500;	0;	100%;	1;	1;	0;	0;	94%;	100%;	1;	1;	0;	0;	78%;	100%;	1;	0;	0;	1;	91%;	100%;	69%;	94%;	51%;	75%;	23%;	60%;	NaN%;	NaN%;	
10000;	3;	1497;	3500;	5000;	0;	100%;	1;	1;	0;	0;	77%;	100%;	1;	1;	0;	0;	75%;	100%;	1;	0;	1;	0;	91%;	100%;	63%;	93%;	45%;	76%;	18%;	59%;	NaN%;	NaN%;	
15000;	3;	2247;	5250;	7500;	0;	99%;	1;	1;	0;	0;	95%;	100%;	1;	0;	1;	0;	91%;	100%;	1;	0;	0;	1;	95%;	100%;	70%;	95%;	51%;	77%;	23%;	59%;	NaN%;	NaN%;	
20000;	3;	2997;	7000;	10000;	0;	100%;	1;	1;	0;	0;	100%;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	87%;	100%;	76%;	96%;	58%;	75%;	27%;	59%;	NaN%;	NaN%;	
25000;	3;	3747;	8750;	12500;	0;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	78%;	100%;	1;	1;	0;	0;	73%;	100%;	68%;	93%;	49%;	75%;	21%;	59%;	NaN%;	NaN%;	
30000;	3;	4497;	10500;	15000;	0;	100%;	1;	1;	0;	0;	81%;	100%;	1;	0;	1;	0;	89%;	100%;	1;	1;	0;	0;	99%;	67%;	66%;	94%;	49%;	75%;	21%;	60%;	NaN%;	NaN%;	
35000;	3;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	92%;	100%;	1;	0;	1;	0;	96%;	100%;	1;	0;	0;	1;	97%;	100%;	79%;	96%;	59%;	76%;	29%;	59%;	NaN%;	NaN%;	
40000;	3;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	72%;	100%;	1;	0;	0;	1;	91%;	100%;	1;	1;	0;	0;	95%;	67%;	66%;	94%;	48%;	76%;	21%;	59%;	NaN%;	NaN%;	
45000;	3;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	72%;	100%;	1;	0;	1;	0;	84%;	100%;	1;	0;	1;	0;	82%;	100%;	61%;	93%;	43%;	76%;	19%;	60%;	NaN%;	NaN%;	
50000;	3;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	80%;	100%;	1;	0;	1;	0;	91%;	100%;	1;	0;	1;	0;	82%;	100%;	66%;	93%;	50%;	75%;	22%;	60%;	NaN%;	NaN%;	
